Id,StateFars,StateEng,CityFars,CityEng,Lat,Long,StateCity
495,گيلان,Gilan,لولمان,,37.29998293,49.62998328,"گيلان ,لولمان"
496,گيلان,Gilan,رودبار,,37.29998293,49.62998328,"گيلان ,رودبار"
497,گيلان,Gilan,لاهيجان,,37.29998293,49.62998328,"گيلان ,لاهيجان"
498,گيلان,Gilan,رودسر,,37.29998293,49.62998328,"گيلان ,رودسر"
499,گيلان,Gilan,کوچصفهان,,37.29998293,49.62998328,"گيلان ,کوچصفهان"
500,گيلان,Gilan,لشت نشا,,37.29998293,49.62998328,"گيلان ,لشت نشا"
501,گيلان,Gilan,لوشان,,37.29998293,49.62998328,"گيلان ,لوشان"
502,گيلان,Gilan,کتالم,,37.29998293,49.62998328,"گيلان ,کتالم"
503,گيلان,Gilan,ضيابر,,37.29998293,49.62998328,"گيلان ,ضيابر"
504,گيلان,Gilan,امام زاده هاشم,,37.29998293,49.62998328,"گيلان ,امام زاده هاشم"
505,گيلان,Gilan,صومعه سرا,,37.29998293,49.62998328,"گيلان ,صومعه سرا"
506,گيلان,Gilan,کسما,,37.29998293,49.62998328,"گيلان ,کسما"
507,گيلان,Gilan,جمعه بازار,,37.29998293,49.62998328,"گيلان ,جمعه بازار"
508,گيلان,Gilan,کلارآباد,,37.29998293,49.62998328,"گيلان ,کلارآباد"
509,گيلان,Gilan,متل قو,,37.29998293,49.62998328,"گيلان ,متل قو"
510,گيلان,Gilan,جمشيدآباد,,37.29998293,49.62998328,"گيلان ,جمشيدآباد"
511,گيلان,Gilan,منجيل,,37.29998293,49.62998328,"گيلان ,منجيل"
512,گيلان,Gilan,نشتارود,,37.29998293,49.62998328,"گيلان ,نشتارود"
513,گيلان,Gilan,کياشهر,,37.29998293,49.62998328,"گيلان ,کياشهر"
514,گيلان,Gilan,املش,,37.29998293,49.62998328,"گيلان ,املش"
515,گيلان,Gilan,رستم آباد,,37.29998293,49.62998328,"گيلان ,رستم آباد"
516,گيلان,Gilan,آستانه,,37.29998293,49.62998328,"گيلان ,آستانه"
517,گيلان,Gilan,شفت,,37.29998293,49.62998328,"گيلان ,شفت"
518,گيلان,Gilan,بندرانزلي,,37.29998293,49.62998328,"گيلان ,بندرانزلي"
519,گيلان,Gilan,رضوانشهر,,37.29998293,49.62998328,"گيلان ,رضوانشهر"
520,گيلان,Gilan,فومن,,37.29998293,49.62998328,"گيلان ,فومن"
521,گيلان,Gilan,ماسال,,37.29998293,49.62998328,"گيلان ,ماسال"
522,گيلان,Gilan,اب کنار,,37.29998293,49.62998328,"گيلان ,اب کنار"
523,گيلان,Gilan,لنگرود,,37.29998293,49.62998328,"گيلان ,لنگرود"
524,گيلان,Gilan,عباس آباد,,37.29998293,49.62998328,"گيلان ,عباس آباد"
525,گيلان,Gilan,کومله,,37.29998293,49.62998328,"گيلان ,کومله"
526,گيلان,Gilan,چاف,,37.29998293,49.62998328,"گيلان ,چاف"
527,گيلان,Gilan,سنگر,,37.29998293,49.62998328,"گيلان ,سنگر"
528,گيلان,Gilan,شاقاجي,,37.29998293,49.62998328,"گيلان ,شاقاجي"
529,گيلان,Gilan,خرم آباد,,37.29998293,49.62998328,"گيلان ,خرم آباد"
530,گيلان,Gilan,قلعه گردن,,37.29998293,49.62998328,"گيلان ,قلعه گردن"
531,گيلان,Gilan,چابکسر,,37.29998293,49.62998328,"گيلان ,چابکسر"
532,گيلان,Gilan,سادات محله,,37.29998293,49.62998328,"گيلان ,سادات محله"
533,گيلان,Gilan,رحيم آباد,,37.29998293,49.62998328,"گيلان ,رحيم آباد"
534,گيلان,Gilan,کلاچاي,,37.29998293,49.62998328,"گيلان ,کلاچاي"
535,گيلان,Gilan,واجارگاه,,37.29998293,49.62998328,"گيلان ,واجارگاه"
536,گيلان,Gilan,شاندرمن,,37.29998293,49.62998328,"گيلان ,شاندرمن"
537,گيلان,Gilan,گراب زريخ,,37.29998293,49.62998328,"گيلان ,گراب زريخ"
538,گيلان,Gilan,طاهرگوراب,,37.29998293,49.62998328,"گيلان ,طاهرگوراب"
539,گيلان,Gilan,هشتپر,,37.29998293,49.62998328,"گيلان ,هشتپر"
540,گيلان,Gilan,پره سر,,37.29998293,49.62998328,"گيلان ,پره سر"
